caseid,presvote,partyid,age,fincome,female,white,BushFT,ClintonFT,PerotFT,candid,vote,FT,clintondummy,perotdummy,PIDxClinton,PIDxPerot,partisan,bushdummy,PIDxBush,votehat,altvotehat
5114,1,3,46,15,1,1,70,40,0,3,0,0,0,1,0,3,minor,0,0,.012584003,.59078008
5115,2,2,60,20,1,1,50,60,0,1,0,50,0,0,0,0,major,1,2,.10089482,.95888412
5115,2,2,60,20,1,1,50,60,0,2,1,60,1,0,2,0,major,0,0,.89153653,.99517083
5115,2,2,60,20,1,1,50,60,0,3,0,0,0,1,0,2,minor,0,0,.0075686299,.63629258
5116,2,4,82,21,0,1,60,60,50,1,0,60,0,0,0,0,major,1,4,.33730611,.97767019
5116,2,4,82,21,0,1,60,60,50,2,1,60,1,0,4,0,major,0,0,.44864818,.9831183
5116,2,4,82,21,0,1,60,60,50,3,0,50,0,1,0,4,minor,0,0,.21404569,.96525812
5118,3,3,61,4,1,1,70,100,50,1,0,70,0,0,0,0,major,1,3,.055662066,.98798043
5118,3,3,61,4,1,1,70,100,50,2,0,100,1,0,3,0,major,0,0,.92153841,.99926573
5118,3,3,61,4,1,1,70,100,50,3,1,50,0,1,0,3,minor,0,0,.022799531,.97115546
5119,3,4,21,20,0,1,70,40,50,1,0,70,0,0,0,0,major,1,4,.64976162,.98798043
5119,3,4,21,20,0,1,70,40,50,2,0,40,1,0,4,0,major,0,0,.13061169,.94293189
5119,3,4,21,20,0,1,70,40,50,3,1,50,0,1,0,4,minor,0,0,.21962668,.96525812
5121,2,1,50,21,1,1,60,60,30,1,0,60,0,0,0,0,major,1,1,.098286301,.97767019
5121,2,1,50,21,1,1,60,60,30,2,1,60,1,0,1,0,major,0,0,.87022322,.99742705
5121,2,1,50,21,1,1,60,60,30,3,0,30,0,1,0,1,minor,0,0,.031490494,.93345731
5122,2,3,50,22,1,1,40,60,85,1,0,40,0,0,0,0,major,1,3,.029077217,.92549759
5122,2,3,50,22,1,1,40,60,85,2,1,60,1,0,3,0,major,0,0,.25642225,.99095422
5122,2,3,50,22,1,1,40,60,85,3,0,85,0,1,0,3,minor,0,0,.71450055,.99673468
5124,2,2,56,24,1,1,40,70,15,1,0,40,0,0,0,0,major,1,2,.03076341,.92549759
5124,2,2,56,24,1,1,40,70,15,2,1,70,1,0,2,0,major,0,0,.95809209,.99742192
5124,2,2,56,24,1,1,40,70,15,3,0,15,0,1,0,2,minor,0,0,.01114451,.81818831
5126,3,3,30,1,0,1,15,60,0,1,0,15,0,0,0,0,major,1,3,.022650765,.72007072
5126,3,3,30,1,0,1,15,60,0,2,0,60,1,0,3,0,major,0,0,.96463692,.99095422
5126,3,3,30,1,0,1,15,60,0,3,1,0,0,1,0,3,minor,0,0,.012712328,.59078008
5127,1,7,63,15,0,1,60,15,70,1,1,60,0,0,0,0,major,1,7,.44080558,.97767019
5127,1,7,63,15,0,1,60,15,70,2,0,15,1,0,7,0,major,0,0,.0051747835,.33949259
5127,1,7,63,15,0,1,60,15,70,3,0,70,0,1,0,7,minor,0,0,.55401963,.98215187
5128,3,2,43,20,1,1,15,60,100,1,0,15,0,0,0,0,major,1,2,.002217209,.72007072
5128,3,2,43,20,1,1,15,60,100,2,0,60,1,0,2,0,major,0,0,.17762589,.99517083
5128,3,2,43,20,1,1,15,60,100,3,1,100,0,1,0,2,minor,0,0,.82015687,.99895012
5129,3,2,82,6,0,1,60,0,40,1,0,60,0,0,0,0,major,1,2,.62349313,.97767019
5129,3,2,82,6,0,1,60,0,40,2,0,0,1,0,2,0,major,0,0,.067025982,.82476819
5129,3,2,82,6,0,1,60,0,40,3,1,40,0,1,0,2,minor,0,0,.30948088,.9560101
5130,3,3,33,15,0,1,40,40,70,1,0,40,0,0,0,0,major,1,3,.076600745,.92549759
5130,3,3,33,15,0,1,40,40,70,2,0,40,1,0,3,0,major,0,0,.19166084,.96882963
5130,3,3,33,15,0,1,40,40,70,3,1,70,0,1,0,3,minor,0,0,.73173845,.99164343
5131,1,6,32,20,0,1,100,40,40,1,1,100,0,0,0,0,major,1,6,.9736017,.99816477
5131,1,6,32,20,0,1,100,40,40,2,0,40,1,0,6,0,major,0,0,.0083583053,.8236106
5131,1,6,32,20,0,1,100,40,40,3,0,40,0,1,0,6,minor,0,0,.018039985,.90972966
5132,1,7,32,14,0,1,85,0,15,1,1,85,0,0,0,0,major,1,7,.99099231,.99529278
5132,1,7,32,14,0,1,85,0,15,2,0,0,1,0,7,0,major,0,0,.00093650556,.16653742
5132,1,7,32,14,0,1,85,0,15,3,0,15,0,1,0,7,minor,0,0,.0080712037,.63263404
5133,1,5,50,12,1,1,70,50,60,1,1,70,0,0,0,0,major,1,5,.57995546,.98798043
5133,1,5,50,12,1,1,70,50,60,2,0,50,1,0,5,0,major,0,0,.11634699,.9428243
5133,1,5,50,12,1,1,70,50,60,3,0,60,0,1,0,5,minor,0,0,.30369756,.97729504
5134,2,6,75,16,0,1,85,90,50,1,0,85,0,0,0,0,major,1,6,.62324846,.99529278
5134,2,6,75,16,0,1,85,90,50,2,1,90,1,0,6,0,major,0,0,.3209824,.99090034
5134,2,6,75,16,0,1,85,90,50,3,0,50,0,1,0,6,minor,0,0,.055769172,.94979894
5135,3,6,54,24,0,1,60,40,50,1,0,60,0,0,0,0,major,1,6,.64986885,.97767019
5135,3,6,54,24,0,1,60,40,50,2,0,40,1,0,6,0,major,0,0,.069305487,.8236106
5135,3,6,54,24,0,1,60,40,50,3,1,50,0,1,0,6,minor,0,0,.28082567,.94979894
5136,3,6,29,20,1,1,70,60,40,1,0,70,0,0,0,0,major,1,6,.7559616,.98798043
5136,3,6,29,20,1,1,70,60,40,2,0,60,1,0,6,0,major,0,0,.15135364,.94271654
5136,3,6,29,20,1,1,70,60,40,3,1,40,0,1,0,6,minor,0,0,.092684761,.90972966
5137,2,4,46,20,0,1,40,70,50,1,0,40,0,0,0,0,major,1,4,.083072685,.92549759
5137,2,4,46,20,0,1,40,70,50,2,1,70,1,0,4,0,major,0,0,.73112845,.99093628
5137,2,4,46,20,0,1,40,70,50,3,0,50,0,1,0,4,minor,0,0,.18579884,.96525812
5139,2,2,64,11,1,1,0,60,0,1,0,0,0,0,0,0,major,1,2,.0047886977,.5
5139,2,2,64,11,1,1,0,60,0,2,1,60,1,0,2,0,major,0,0,.98683363,.99517083
5139,2,2,64,11,1,1,0,60,0,3,0,0,0,1,0,2,minor,0,0,.008377648,.63629258
5141,2,3,71,15,0,1,50,70,50,1,0,50,0,0,0,0,major,1,3,.088791497,.95888412
5141,2,3,71,15,0,1,50,70,50,2,1,70,1,0,3,0,major,0,0,.78302252,.99516124
5141,2,3,71,15,0,1,50,70,50,3,0,50,0,1,0,3,minor,0,0,.12818597,.97115546
5142,2,1,60,21,0,1,50,70,50,1,0,50,0,0,0,0,major,1,1,.029132292,.95888412
5142,2,1,60,21,0,1,50,70,50,2,1,70,1,0,1,0,major,0,0,.90910661,.99862784
5142,2,1,60,21,0,1,50,70,50,3,0,50,0,1,0,1,minor,0,0,.061761081,.98017526
5143,2,2,46,6,1,1,60,85,70,1,0,60,0,0,0,0,major,1,2,.037017461,.97767019
5143,2,2,46,6,1,1,60,85,70,2,1,85,1,0,2,0,major,0,0,.84140241,.9989962
5143,2,2,46,6,1,1,60,85,70,3,0,70,0,1,0,2,minor,0,0,.12158011,.99309397
5144,2,1,57,20,1,1,0,100,40,1,0,0,0,0,0,0,major,1,1,.00020648642,.5
5144,2,1,57,20,1,1,0,100,40,2,1,100,1,0,1,0,major,0,0,.99435556,.9997924
5144,2,1,57,20,1,1,0,100,40,3,0,40,0,1,0,1,minor,0,0,.0054379692,.96341783
5145,2,1,76,10,1,1,50,85,50,1,0,50,0,0,0,0,major,1,1,.011991476,.95888412
5145,2,1,76,10,1,1,50,85,50,2,1,85,1,0,1,0,major,0,0,.96258634,.99946612
